country_name,country_code,value
Tuvalu,TUV,13742057.05
Kiribati,KIR,67254174.4
Marshall Islands,MHL,110937700.0
Palau,PLW,144759500.0
Tonga,TON,202363492.2
"Micronesia, Fed. Sts.",FSM,233226300.0
Samoa,WSM,269019710.3
Vanuatu,VUT,272014693.1
Dominica,DMA,333468888.9
Comoros,COM,350264287.7
Guinea-Bissau,GNB,370173838.7
St. Vincent and the Grenadines,VCT,396261370.4
St. Kitts and Nevis,KNA,433520494.9
Solomon Islands,SLB,435103853.5
Bhutan,BTN,439158233.2
Timor-Leste,TLS,439646121.6
Grenada,GRD,520044370.4
Cabo Verde,CPV,539227277.6
Djibouti,DJI,551230861.9
Seychelles,SYC,614879764.8
Maldives,MDV,624337145.3
Sierra Leone,SLE,635874002.2
Guyana,GUY,712667896.7
"Gambia, The",GMB,782915402.4
Antigua and Barbuda,ATG,830158777.8
Belize,BLZ,832072450.0
St. Lucia,LCA,834327296.3
Tajikistan,TJK,860521119.3
Burundi,BDI,870486065.9
Liberia,LBR,874000000.0
Lesotho,LSO,887295267.9
Central African Republic,CAF,914500299.1
Suriname,SUR,947671969.7
Montenegro,MNE,984297589.4
Equatorial Guinea,GNQ,1045998496.0
Faroe Islands,FRO,1058702725.0
Greenland,GRL,1068030830.0
San Marino,SMR,1101897918.0
Mongolia,MNG,1136896124.0
Moldova,MDA,1288429392.0
Mauritania,MRT,1293654175.0
Kyrgyz Republic,KGZ,1369692689.0
Chad,TCD,1385058162.0
Andorra,AND,1434429703.0
Togo,TGO,1488185772.0
Isle of Man,IMN,1563667800.0
Fiji,FJI,1684109743.0
Lao PDR,LAO,1731198022.0
Eswatini,SWZ,1738100853.0
Malawi,MWI,1743506531.0
Niger,NER,1798374468.0
Rwanda,RWA,1813938653.0
Kosovo,XKX,1849196082.0
Aruba,ABW,1873452514.0
Armenia,ARM,1911563665.0
Liechtenstein,LIE,2483953103.0
Benin,BEN,2569186643.0
Burkina Faso,BFA,2628920056.0
Monaco,MCO,2647883816.0
Turkmenistan,TKM,2904662605.0
Mali,MLI,2954129566.0
Guinea,GIN,2995360969.0
Georgia,GEO,3057424694.0
Barbados,BRB,3121500000.0
"Congo, Rep.",COG,3219910550.0
Albania,ALB,3480355189.0
Papua New Guinea,PNG,3521339699.0
Zambia,ZMB,3600683040.0
Cambodia,KHM,3677897739.0
North Macedonia,MKD,3772851420.0
Namibia,NAM,3833993703.0
Madagascar,MDG,3877673539.0
Haiti,HTI,3953846311.0
Malta,MLT,4306192436.0
West Bank and Gaza,PSE,4313600000.0
Mauritius,MUS,4663313618.0
